poet,line1,line2,line3,line4,line5
Ryosen Hoshi,"Sabishisa ni","Yado o tachi idete","Nagamureba","Izuko mo onaji","Aki no yugure"
Dainagon Tsunenobu,"Yu sareba","Kadota no inaba","Otozurete","Ashi no maroya ni","Akikaze zo fuku"
Yushi Naishinno-ke no Kii,"Oto ni kiku","Takashi no hama no","Adanami wa","Kakeji ya sode no","Nure mo koso sure"
GonChunagon Masafusa,"Takasago no","Onoe no sakura","Saki ni keri","Toyama no kasumi","Tatazu mo aranan"
Minamoto no Toshiyori Ason,"Ukari keru","Hito o Hatsuse no","Yama oroshiyo","Hageshikare to wa","Inoranu mono o"
Fujiwara no Mototoshi,"Chigiri okishi","Sasemo ga tsuyu o","Inochi ni te","Aware kotoshi no","Aki mo inumeri"
Hoshoji no Nyudo Kanpaku Dajodaijin,"Wata no hara","Kogi idete mireba","Hisakata no","Kumoi ni mayoo","Okitsu shiranami"
Sutoku In,"Se o hayami","Iwa ni sekaruru","Takigawa no","Warete mo sue ni","Awan to zo omou"
Minamoto no Kanemasa,"Awaji shima","Kayou chidori no","Naku koe ni","Ikuyo nezamenu","Suma no sekimori"
Sakyo no Daibu Akisuke,"Akikaze ni","Tanabiku kumo no","Taema yori","More izuru tsuki no","Kage no sayakesa"
Taiken Moin no Horikawa,"Nagakaran","Kokoro mo shirazu","Kurokami no","Midarete kesa wa","Mono o koso omoe"
Go Tokudaiji no Sadaijin,"Hototogisu","Nakitsuru kata o","Nagamureba","Tada ariake no","Tsuki zo nokoreru"
Doin Hoshi,"Omoi wabi","Satemo inochi wa","Aru mono o","Uki ni taenu wa","Namida nari keri"
Kotaigogu no Daibu Toshinari,"Yo no naka yo","Michi koso nakere","Omoi iru","Yama no oku ni mo","Shika zo naku naru"
Fujiwara no Kiyosuke Ason,"Nagaraeba","Mata konogoro ya","Shinobaren","Ushi to mishi yo zo","Ima wa koishiki"
Shun'e Hoshi,"Yo mo sugara","Mono omou koro wa","Ake yaranu","Neya no hima sae","Tsure nakari keri"
Saigyo Hoshi,"Nageke tote","Tsuki ya wa mono o","Omowasuru","Kakochi gao naru","Waga namida kana"
Jakuren Hoshi,"Murasame no","Tsuyu mo mada hinu","Maki no ha ni","Kiri tachinoboru","Aki no yugure"
Koka Moin no Betto,"Naniwae no","Ashi no karine no","Hitoyo yue","Mi o tsukushite ya","Koi wataru beki"
Shokushi Naishinno,"Tama no o yo","Taenaba taene","Nagaraeba","Shinoburu koto no","Yowari mo zo suru"
Inpu Moin no Taifu,"Misebaya na","Ojima no ama no","Sode dani mo","Nure ni zo nureshi","Iro wa kawarazu"
Go Kyogoku no Sessho Dajodaijin,"Kirigirisu","Naku ya shimo yo no","Samushiro ni","Koromo katashiki","Hitori kamo nen"
Nijo In no Sanuki,"Waga sode wa","Shiohi ni mienu","Oki no ishi no","Hito koso shirane","Kawaku ma mo nashi"
Kamakura no Udaijin,"Yo no naka wa","Tsune ni mo ga mo na","Nagisa kogu","Ama no obune no","Tsuna de kanashi mo"
Sangi Masatsune,"Miyoshino no","Yama no akikaze","Sayo fukete","Furusato samuku","Koromo utsu nari"
Saki no Daisojo Jien,"Okenaku","Ukiyo no tami ni","Ou kana","Waga tatsu soma ni","Sumizome no sode"
Nyudo Saki no Dajodaijin,"Hana sasou","Arashi no niwa no","Yuki nara de","Furi yuku mono wa","Waga mi nari keri"
GonChunagon Sadaie,"Konu hito o","Matsuho no ura no","Yunagi ni","Yaku ya moshio no","Mi mo kogare tsutsu"
Junii Ietaka,"Kaze soyogu","Nara no ogawa no","Yugure wa","Misogi zo natsu no","Shirushi nari keru"
Gotoba In,"Hito mo oshi","Hito mo urameshi","Ajiki naku","Yo o omou yue ni","Mono omou mi wa"
Juntoku In,"Momoshiki ya","Furuki nokiba no","Shinobu ni mo","Nao amari aru","Mukashi nari keri"
